title,date,url,content,class
Proposta de comitê pode obrigar concessionárias a construir ciclovias nas estradas de SP,2025-04-15 04:00:00,https://www1.folha.uol.com.br/cotidiano/2025/04/proposta-de-comite-pode-obrigar-concessionarias-a-construir-ciclovias-nas-estradas-de-sp.shtml,Comitê propõe que concessionárias construam ciclovias nas estradas de SP,1
Conexão ODS debate caminhos para um futuro mais justo e sustentável,2025-04-15 03:00:00,https://tribunadonorte.com.br/rio-grande-do-norte/conexao-ods-debate-caminhos-para-um-futuro-mais-justo-e-sustentavel/,"Com foco em sustentabilidade e negócios de impacto, o Sebrae-RN lançou nesta segunda-feira (14) a 2a edição do Conexão ODS, evento dedicado ao debate sobre os Objetivos de Desenvolvimento Sustentável (ODS) da Agenda 2030 da ONU. O lançamento ocorreu na sede do Sebrae e contou com palestra do neurocientista Sidarta Ribeiro. A programação oficial acontecerá [...]O post Conexão ODS debate caminhos para um futuro mais justo e sustentável apareceu primeiro em Tribuna do Norte.",1
Nova série da Record revela jornada de fé e desafios de Bárbara em Até onde ela vai,2025-04-15 02:49:49,https://www.mixvale.com.br/2025/04/14/nova-serie-da-record-revela-jornada-de-fe-e-desafios-de-barbara-em-ate-onde-ela-vai/,"A Record estreia nesta segunda-feira, às 22h45, a série Até onde ela vai, uma produção que promete emocionar o público com uma narrativa baseada em fatos reais. A trama acompanha a vida de Bárbara, interpretada por Louise Clós, uma mulher marcada por traumas de infância e desafios familiares que a levam a enfrentar escolhas difíceis. [...]",2
Toyota Prius usado atrai por eficiência e conforto com valores entre R$ 49 mil e R$ 167 mil,2025-04-15 02:42:08,https://www.mixvale.com.br/2025/04/14/toyota-prius-usado-atrai-por-eficiencia-e-conforto-com-valores-entre-r-49-mil-e-r-167-mil/,"Veículos híbridos conquistaram espaço significativo no mercado brasileiro, unindo eficiência energética e inovação tecnológica. O Toyota Prius, precursor dessa categoria, chegou ao Brasil em 2013 e, desde então, consolidou-se como referência em sustentabilidade e desempenho. Com preços na Tabela Fipe que variam de R$ 49.363 (modelo 2012) a R$ 167.530 (2021), o modelo atrai consumidores [...]",2
Trump Corta Uss 2 Bi De Harvard Apos Universidade Negar Exigencias,2025-04-15 02:34:32,https://www.correiobraziliense.com.br/mundo/2025/04/7110561-trump-corta-uss-2-bi-de-harvard-apos-universidade-negar-exigencias.html,,2
Festival Amazonas de Ópera inicia 26a edição com superproduções e parceria internacional,2025-04-15 02:25:33,https://g1.globo.com/am/amazonas/noticia/2025/04/14/festival-amazonas-de-opera-inicia-26a-edicao-com-superproducoes-e-parceria-internacional.ghtml,"Edição deste ano reúne 280 artistas e técnicos e marca o início da internacionalização de um amplo projeto de desenvolvimento sustentável para a Amazônia. Festival Amazonas de Ópera retorna aos palcos de Manaus a partir desta terça-feira em Manaus.DivulgaçãoMaior evento de ópera da América Latina, o 26o Festival Amazonas de Ópera (FAO) será realizado entre os dias 15 de abril e 18 de maio, com apresentações no Teatro Amazonas e no Centro Cultural Palácio da Justiça. A programação reúne grandes produções com artistas consagrados da cena operística contemporânea. A abertura acontece nesta terça-feira (15), às 19h, com a estreia da ópera “La Vorágine”.Esta edição traz três óperas, três concertos e dois recitais. Além disso, marca o início do projeto internacional “Corredor Criativo da Amazônia”, que unirá instituições culturais do Brasil, Colômbia, Portugal e Áustria. O objetivo é promover o festival no exterior e inserir a cultura amazônica na agenda global de sustentabilidade ambiental.📲 Participe do canal do g1 AM no WhatsAppO secretário de Cultura e Economia Criativa, Caio André, destaca a importância do festival para o cenário cultural.“O Festival Amazonas de Ópera já faz parte da história do nosso estado e da agenda de quem ama esse gênero. A cada ano, cresce o número de admiradores, e a expectativa para esta edição é ainda maior”, afirmou.A programação inclui uma versão em concerto de La Bohème (Puccini), a montagem de As Bodas de Fígaro (Mozart), além dos recitais Belcanto e Canções Brasileiras. Os ingressos estão à venda na bilheteria do Teatro Amazonas e no site shopingressos.com.br.A ópera que abre o festival, La Vorágine, é baseada no romance histórico colombiano homônimo, ambientado no ciclo da borracha. A história acompanha personagens que saem da Colômbia rumo a Manaus, então em pleno auge econômico por conta da exploração do látex. Composta por João Guilherme Ripper, a obra é inédita e marca a entrada oficial da Colômbia no Corredor Criativo da Amazônia. A produção envolve cantores e técnicos dos dois países.“Essa ópera representa uma nova fase do festival. A Colômbia, que já era parceira, agora se integra ao Corredor Criativo. Também vamos assinar acordos com Portugal e Áustria, fortalecendo a cultura, o turismo e a educação em Manaus e na região amazônica”, explica Flávia Furtado, diretora-executiva do FAO.Mais de 80% dos profissionais envolvidos na produção são de Manaus. Cerca de 280 pessoas atuam diretamente no evento, entre técnicos, solistas, coro e orquestra. Os preparativos — que incluem montagem de estrutura, figurinos e ensaios — já estão em andamento no Teatro Amazonas e no Palácio da Justiça. A direção artística é do maestro Luiz Fernando Malheiro.O festival também aposta em ações de inclusão, com um espetáculo adaptado para crianças com Transtorno do Espectro Autista (TEA) e apresentações voltadas a estudantes da rede pública, como o concerto OCA alla Rossini.Ópera na AmazôniaCriado em 1997, o Festival Amazonas de Ópera gerou importante impacto para a cultura e a economia criativa manauara. A partir do evento, os corpos artísticos do Estado começaram a ser montados e toda uma cadeia de trabalho da economia criativa foi estruturado, com destaque também para a expansão do setor hoteleiro e gastronômico no entorno do Teatro Amazonas.Agora, o Festival inicia um novo capítulo cuja missão é destacar a colaboração do setor cultural para a preservação da Amazônia brasileira. Flávia Furtado destaca que a assinatura de convênios com grupos da Áustria, Colômbia e Portugal marca essa nova etapa, que vai beneficiar a classe artística em Manaus e Belém, além de ampliar as oportunidades de qualificação de mão de obra.“A gente tem um fundo criado para dar suporte ao festival, cuja história de 25 anos nos habilita para o próximo passo, que é ser reconhecido como grande impulsionador de turismo, cultura e educação para a cidade de Manaus. O ‘Corredor Criativo’ vai envolver o Amazonas e o Pará, que têm os maiores festivais de ópera do país. A gente entende que precisa replicar essa experiência”, disse a diretora-executiva do Festival Amazonas de Ópera.Segundo ela, têm gerações de amazonenses que trabalham no teatro. É um projeto amazonense, para amazonenses porque 70% dos corpos artísticos e 80% dos trabalhadores técnicos são do Amazonas. “Precisamos comunicar isso, porque o FAO é um projeto estruturante e sustentável que gera impactos para o meio ambiente e precisa ser incentivado e multiplicado”, destaca.A proposta do “Corredor Criativo da Amazônia” será lançada na quarta-feira (16/04). Um dos objetivos é arrecadar recursos internacionais para fomentar ações estruturantes e de colaboração regional entre os membros do Corredor. “A ideia é fazer o festival funcionar na primeira metade do ano e, no segundo semestre, o trabalho ficará centrado na formação da mão de obra local, parcerias técnicas e ações com educação para escolas e instituições públicas do Amazonas. Por isso, vamos buscar linhas de financiamento para a cultura e meio ambiente objetivando beneficiar as cidades da região amazônica”, adiantou Flávia Furtado.Em conjunto com essa iniciativa, será lançado o Prêmio Carlos Gomes dentro do Concurso de canto de Cascais. A premiação é parte de uma estratégia de divulgação do Festival Amazonas de Ópera na comunidade europeia. Dando visibilidade não apenas ao FAO, mas ao Brasil e nossa história importante com o gênero operístico.Festival Amazonas de Ópera começa nesta terça-feira",2
Sony aumenta preços do PlayStation 5 na Europa em meio a guerra comercial de Trump,2025-04-15 02:00:00,https://redir.folha.com.br/redir/online/tec/rss091/*https://www1.folha.uol.com.br/tec/2025/04/sony-aumenta-precos-do-playstation-5-na-europa-em-meio-a-guerra-comercial-de-trump.shtml,"A Sony está aumentando o preço de seu console de jogos PlayStation 5 em vários mercados, incluindo Europa, em uma tentativa de se antecipar às tarifas do presidente dos Estados Unidos, Donald Trump, segundo analistas.Leia mais (04/14/2025 - 23h00)",2
VÍDEO: Onça-pintada é flagrada por armadilha fotográfica em reserva ambiental no Amazonas,2025-04-15 01:55:27,https://g1.globo.com/am/amazonas/noticia/2025/04/14/video-onca-pintada-e-flagrada-por-armadilha-fotografica-em-reserva-ambiental-no-amazonas.ghtml,"Captura de imagens faz parte das ações de monitoramento da biodiversidade conduzidas pela Secretaria de Estado do Meio Ambiente. Onça-pintada é registrada por armadilha fotográfica em reserva ambiental no AmazonasUma onça-pintada foi registrada por uma armadilha fotográfica na Reserva de Desenvolvimento Sustentável (RDS) Rio Amapá, localizada em Manicoré, no interior do Amazonas. O flagrante do maior felino das Américas é um forte indicativo da boa saúde ambiental da Unidade de Conservação, gerida pela Secretaria de Estado do Meio Ambiente (Sema). Assista ao vídeo acima. A câmera foi instalada em uma área remota da reserva, afastada de comunidades e que já enfrentou episódios de caça, principalmente no entorno do ramal de Manicoré, nas proximidades da base do Parque Estadual Matupiri.📲 Participe do canal do g1 AM no WhatsAppA ação faz parte do Programa de Monitoramento da Biodiversidade, com apoio do Programa Áreas Protegidas da Amazônia (Arpa), e tem como objetivo acompanhar a presença de espécies de médio e grande porte, além de avaliar o nível de conservação da floresta.“A câmera foi instalada há apenas dois meses e, nesse curto período, já conseguimos captar imagens raras e muito significativas. Para nós, isso mostra o sucesso das ações de proteção e monitoramento da biodiversidade no território”, destacou o gestor da RDS, Thyago Albuquerque.Além da onça-pintada, também foram registrados, nesse intervalo, animais como anta, veado, porco-do-mato, paca e cutia. A presença dessas espécies, especialmente a onça — predador de topo da cadeia alimentar —, reforça que o ecossistema está equilibrado e com baixa interferência humana.O monitoramento da biodiversidade na RDS Rio Amapá ocorre desde 2020, com a coleta de dados feita por monitores ambientais. O uso da tecnologia fortalece esse trabalho, valida as informações obtidas em campo e contribui com estratégias para a conservação da floresta e das espécies que vivem na região.Onça-pintada é registrada por armadilha fotográfica em reserva ambiental no Amazonas.Divulgação/Sema",1
Fim da linha para iPhone 14 e SE: Apple aposta em iPhone 17 e iOS 19 para 2025,2025-04-15 01:52:42,https://www.mixvale.com.br/2025/04/14/fim-da-linha-para-iphone-14-e-se-apple-aposta-em-iphone-17-e-ios-19-para-2025/,"A decisão da Apple de encerrar a produção de três modelos icônicos de iPhone em 2025 está movimentando o mercado global de smartphones. Anunciada no início do ano, a descontinuação do iPhone 14, iPhone 14 Plus e iPhone SE de terceira geração afeta diretamente milhões de consumidores que utilizam esses aparelhos, especialmente em regiões onde [...]",2
"Revisão de aposentadoria especial eleva benefícios para 2,3 milhões de trabalhadores no INSS",2025-04-15 01:46:54,https://www.mixvale.com.br/2025/04/14/revisao-de-aposentadoria-especial-eleva-beneficios-para-23-milhoes-de-trabalhadores-no-inss/,"A aposentadoria especial, destinada a trabalhadores que atuaram em condições insalubres, perigosas ou penosas, é um direito de cerca de 2,3 milhões de brasileiros, mas muitos recebem valores inferiores ao devido por erros no cálculo do Instituto Nacional do Seguro Social (INSS). Esses equívocos, que incluem a não reconhecimento de períodos de atividade especial ou [...]",2
